AMAZONAS,37.694545454545455
ANTIOQUIA,95.14408
ARAUCA,92.49142857142859
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",100.0
ATLANTICO,98.05434782608695
BOLÍVAR,85.35869565217392
BOYACÁ,93.50544715447151
CALDAS,98.52444444444444
CAQUETÁ,83.61375000000001
CASANARE,71.54947368421051
CAUCA,83.08285714285714
CESAR,90.12280000000003
CHOCÓ,73.40799999999999
CUNDINAMARCA,98.75112068965515
CÓRDOBA,84.92999999999999
GUAINIA,66.60666666666667
GUAVIARE,67.5575
HUILA,96.11783783783785
LA GUAJIRA,81.118
MAGDALENA,84.31866666666666
META,85.63689655172415
NARIÑO,94.23937500000001
NORTE DE SANTANDER,92.07525000000001
PUTUMAYO,69.40076923076923
QUINDIO,98.88250000000001
RISARALDA,96.73285714285716
SANTANDER,89.42022988505747
SATA FE DE BOGOTÁ D.C.,99.99
SUCRE,96.97153846153846
TOLIMA,92.25489361702128
VALLE DEL CAUCA,97.94309523809525
VAUPES,71.41000000000001
VICHADA,65.3875
